x,t=1.00e+00s,t=3.00e+00s,t=5.00e+00s
1.010101010101010187e-02,3.010305070911127867e+00,7.010305070910862746e+00,1.101030507091069310e+01
0.000000000000000000e+00,2.999999999999996447e+00,6.999999999999732658e+00,1.099999999999956835e+01
2.020202020202020374e-02,3.021018263442502239e+00,7.021018263442239338e+00,1.102101826344207680e+01
1.010101010101010187e-02,3.010305070911127867e+00,7.010305070910862746e+00,1.101030507091069310e+01
3.030303030303030387e-02,3.032139577594119118e+00,7.032139577593855329e+00,1.103213957759368746e+01
2.020202020202020374e-02,3.021018263442502239e+00,7.021018263442239338e+00,1.102101826344207147e+01
4.040404040404040747e-02,3.043669013365979392e+00,7.043669013365716047e+00,1.104366901336554818e+01
3.030303030303030387e-02,3.032139577594118673e+00,7.032139577593855329e+00,1.103213957759368924e+01
5.050505050505051108e-02,3.055606570758081286e+00,7.055606570757818830e+00,1.105560657075765185e+01
4.040404040404040747e-02,3.043669013365979836e+00,7.043669013365716935e+00,1.104366901336554996e+01
6.060606060606060774e-02,3.067952249770427464e+00,7.067952249770163675e+00,1.106795224977000203e+01
5.050505050505051108e-02,3.055606570758082619e+00,7.055606570757818830e+00,1.105560657075764830e+01
7.070707070707071829e-02,3.080706050403015261e+00,7.080706050402751472e+00,1.108070605040258627e+01
6.060606060606060774e-02,3.067952249770427908e+00,7.067952249770164563e+00,1.106795224976999670e+01
8.080808080808081495e-02,3.093867972655847343e+00,7.093867972655583998e+00,1.109386797265541880e+01
7.070707070707071829e-02,3.080706050403016150e+00,7.080706050402755025e+00,1.108070605040258449e+01
9.090909090909091161e-02,3.107438016528922375e+00,7.107438016528658586e+00,1.110743801652849072e+01
8.080808080808081495e-02,3.093867972655847343e+00,7.093867972655583998e+00,1.109386797265541880e+01
1.010101010101010222e-01,3.121416182022236363e+00,7.121416182021977903e+00,1.112141618202180737e+01
9.090909090909091161e-02,3.107438016528921931e+00,7.107438016528659475e+00,1.110743801652848894e+01
1.111111111111111188e-01,3.135802469135798631e+00,7.135802469135539283e+00,1.113580246913536698e+01
1.010101010101010222e-01,3.121416182022238139e+00,7.121416182021975239e+00,1.112141618202180737e+01
1.212121212121212155e-01,3.150596877869599854e+00,7.150596877869340950e+00,1.115059687786917308e+01
1.111111111111111188e-01,3.135802469135797299e+00,7.135802469135536619e+00,1.113580246913536520e+01
1.313131313131313260e-01,3.165799408223646250e+00,7.165799408223388234e+00,1.116579940822321504e+01
1.212121212121212155e-01,3.150596877869599854e+00,7.150596877869337398e+00,1.115059687786916776e+01
1.414141414141414366e-01,3.181410060197934264e+00,7.181410060197673140e+00,1.118141006019750350e+01
1.313131313131313260e-01,3.165799408223646250e+00,7.165799408223384681e+00,1.116579940822321149e+01
1.515151515151515194e-01,3.197428833792464786e+00,7.197428833792204550e+00,1.119742883379203846e+01
1.414141414141414366e-01,3.181410060197935152e+00,7.181410060197674028e+00,1.118141006019749994e+01
1.616161616161616299e-01,3.213855729007239148e+00,7.213855729006977135e+00,1.121385572900680394e+01
1.515151515151515194e-01,3.197428833792465230e+00,7.197428833792205438e+00,1.119742883379203668e+01
1.717171717171717404e-01,3.230690745842256018e+00,7.230690745841995337e+00,1.123069074584182658e+01
1.616161616161616299e-01,3.213855729007238260e+00,7.213855729006979800e+00,1.121385572900680394e+01
1.818181818181818232e-01,3.247933884297516727e+00,7.247933884297258267e+00,1.124793388429708685e+01
1.717171717171717404e-01,3.230690745842256462e+00,7.230690745841995337e+00,1.123069074584182481e+01
1.919191919191919338e-01,3.265585144373018167e+00,7.265585144372757043e+00,1.126558514437259007e+01
1.818181818181818232e-01,3.247933884297516283e+00,7.247933884297255602e+00,1.124793388429708330e+01
2.020202020202020443e-01,3.283644526068763003e+00,7.283644526068504099e+00,1.128364452606833090e+01
1.919191919191919338e-01,3.265585144373018167e+00,7.265585144372757043e+00,1.126558514437258829e+01
2.121212121212121271e-01,3.302112029384753011e+00,7.302112029384493219e+00,1.130211202938432002e+01
2.020202020202020443e-01,3.283644526068763891e+00,7.283644526068503211e+00,1.128364452606833446e+01
2.222222222222222376e-01,3.320987654320981974e+00,7.320987654320721738e+00,1.132098765432055387e+01
2.121212121212121271e-01,3.302112029384753011e+00,7.302112029384490555e+00,1.130211202938431825e+01
2.323232323232323482e-01,3.340271400877456554e+00,7.340271400877196761e+00,1.134027140087702179e+01
2.222222222222222376e-01,3.320987654320983307e+00,7.320987654320724403e+00,1.132098765432055387e+01
2.424242424242424310e-01,3.359963269054173196e+00,7.359963269053912960e+00,1.135996326905374332e+01
2.323232323232323482e-01,3.340271400877456554e+00,7.340271400877198538e+00,1.134027140087702534e+01
2.525252525252525415e-01,3.380063258851132790e+00,7.380063258850872110e+00,1.138006325885070069e+01
2.424242424242424310e-01,3.359963269054172308e+00,7.359963269053915624e+00,1.135996326905373977e+01
2.626262626262626521e-01,3.400571370268335336e+00,7.400571370268076876e+00,1.140057137026789924e+01
2.525252525252525415e-01,3.380063258851132346e+00,7.380063258850870334e+00,1.138006325885070424e+01
2.727272727272727626e-01,3.421487603305779945e+00,7.421487603305521930e+00,1.142148760330534785e+01
2.626262626262626521e-01,3.400571370268334004e+00,7.400571370268074212e+00,1.140057137026789924e+01
2.828282828282828731e-01,3.442811957963467950e+00,7.442811957963208158e+00,1.144281195796303408e+01
2.727272727272727626e-01,3.421487603305779945e+00,7.421487603305521930e+00,1.142148760330534785e+01
2.929292929292929282e-01,3.464544434241398019e+00,7.464544434241140003e+00,1.146454443424097214e+01
2.828282828282828731e-01,3.442811957963468394e+00,7.442811957963207270e+00,1.144281195796303052e+01
3.030303030303030387e-01,3.486685032139572371e+00,7.486685032139315688e+00,1.148668503213913894e+01
2.929292929292929282e-01,3.464544434241398463e+00,7.464544434241137338e+00,1.146454443424096681e+01
3.131313131313131493e-01,3.509233751657988343e+00,7.509233751657728106e+00,1.150923375165755580e+01
3.030303030303030387e-01,3.486685032139571039e+00,7.486685032139312135e+00,1.148668503213914072e+01
3.232323232323232598e-01,3.532190592796647266e+00,7.532190592796389694e+00,1.153219059279621916e+01
3.131313131313131493e-01,3.509233751657987899e+00,7.509233751657728106e+00,1.150923375165755402e+01
3.333333333333333703e-01,3.555555555555549141e+00,7.555555555555291569e+00,1.155555555555512015e+01
3.232323232323232598e-01,3.532190592796648154e+00,7.532190592796387918e+00,1.153219059279621206e+01
3.434343434343434809e-01,3.579328639934694856e+00,7.579328639934436396e+00,1.157932863993426409e+01
